id,status,cachegrind_l1,cachegrind_ll,cachegrind_memory,csrd_l1,csrd_ll,csrd_memory,global_rd_l1,global_rd_ll,global_rd_memory
packed_8,ok,23,0,1,23,0,1,23,0,1
spread_3,ok,6,0,3,6,0,3,6,0,3
conflict_3,ok,6,0,3,6,0,3,6,0,3
spread_4,ok,8,0,4,8,0,4,8,0,4
conflict_4,ok,8,0,4,8,0,4,8,0,4
spread_5,ok,10,0,5,10,0,5,10,0,5
conflict_5,ok,0,10,5,0,10,5,10,0,5
spread_8,ok,16,0,8,16,0,8,16,0,8
conflict_8,ok,0,16,8,0,16,8,16,0,8
capacity_256,ok,512,0,256,512,0,256,512,0,256
capacity_448,ok,896,0,448,896,0,448,896,0,448
capacity_511,ok,1022,0,511,1022,0,511,1022,0,511
capacity_512,ok,1024,0,512,1024,0,512,1024,0,512
capacity_513,ok,1016,10,513,1016,10,513,0,1026,513
capacity_576,ok,512,640,576,512,640,576,0,1152,576
capacity_1024,ok,0,2048,1024,0,2048,1024,0,2048,1024
capacity_32768,ok,0,65536,32768,0,65536,32768,0,65536,32768
capacity_61440,ok,0,122880,61440,0,122880,61440,0,122880,61440
capacity_65535,ok,0,131070,65535,0,131070,65535,0,131070,65535
capacity_65536,ok,0,131072,65536,0,131072,65536,0,131072,65536
capacity_65537,ok,0,131064,65547,0,131064,65547,0,0,196611
capacity_69632,ok,0,98304,110592,0,98304,110592,0,0,208896
capacity_73728,ok,0,65536,155648,0,65536,155648,0,0,221184
mean_uniform,ok,4092,0,1024,4092,0,1024,4092,0,1024
mean_mixed,ok,2046,2046,1024,2046,2046,1024,2046,2046,1024
