id,status,source_accesses,sequence_equal,trace_l1,trace_llc,trace_memory,csrd_l1,csrd_llc,csrd_memory,global_rd_l1,global_rd_llc,global_rd_memory,excluded_outside_roi,excluded_outside_array,wall_seconds
packed_8,ok,24,True,23,0,1,23,0,1,23,0,1,46800,1,0.9833140401169658
spread_3,ok,9,True,6,0,3,6,0,3,6,0,3,46880,1,1.0042291139252484
conflict_3,ok,9,True,6,0,3,6,0,3,6,0,3,59072,1,1.0910121030174196
spread_4,ok,12,True,8,0,4,8,0,4,8,0,4,46920,1,0.9831567518413067
conflict_4,ok,12,True,8,0,4,8,0,4,8,0,4,63176,1,1.127594007179141
spread_5,ok,15,True,10,0,5,10,0,5,10,0,5,46952,1,0.9894756302237511
conflict_5,ok,15,True,0,10,5,0,10,5,10,0,5,67272,1,1.1683838302269578
spread_8,ok,24,True,16,0,8,16,0,8,16,0,8,47048,1,1.0045875809155405
conflict_8,ok,24,True,0,16,8,0,16,8,16,0,8,79560,1,1.2696199249476194
capacity_256,ok,768,True,512,0,256,512,0,256,512,0,256,54988,1,1.1499909590929747
capacity_448,ok,1344,True,896,0,448,896,0,448,896,0,448,61136,1,1.2302025323733687
capacity_511,ok,1533,True,1022,0,511,1022,0,511,1022,0,511,63152,1,1.2600626470521092
capacity_512,ok,1536,True,1024,0,512,1024,0,512,1024,0,512,63184,1,1.249312947038561
capacity_513,ok,1539,True,1016,10,513,1016,10,513,0,1026,513,63216,1,1.2687033507972956
capacity_576,ok,1728,True,512,640,576,512,640,576,0,1152,576,65232,1,1.2827121573500335
capacity_1024,ok,3072,True,0,2048,1024,0,2048,1024,0,2048,1024,79568,1,1.5366756678558886
capacity_32768,ok,98304,True,0,65536,32768,0,65536,32768,0,65536,32768,1095380,1,16.82675748085603
capacity_61440,ok,184320,True,0,122880,61440,0,122880,61440,0,122880,61440,2012888,1,30.723375173751265
capacity_65535,ok,196605,True,0,131070,65535,0,131070,65535,0,131070,65535,2143928,1,32.891728506889194
capacity_65536,ok,196608,True,0,131072,65536,0,131072,65536,0,131072,65536,2143960,1,33.00440137414262
capacity_65537,ok,196611,True,0,131064,65547,0,131064,65547,0,0,196611,2143992,1,33.28900792822242
capacity_69632,ok,208896,True,0,98304,110592,0,98304,110592,0,0,208896,2275032,1,36.448046871926636
capacity_73728,ok,221184,True,0,65536,155648,0,65536,155648,0,0,221184,2406104,1,37.624379304703325
mean_uniform,ok,5116,True,4092,0,1024,4092,0,1024,4092,0,1024,79568,1,1.75033786194399
mean_mixed,ok,5116,True,2046,2046,1024,2046,2046,1024,2046,2046,1024,79568,1,1.6342312567867339
